Fly,Line,Treatment ,Sex,Head Length ,Thorax Length,Thorax Width ,sum_size,overall_size,Lifespan
1,G1,Inbred,M,3.586,4.982,2.964,11.532,52.95319973,44
2,G1,Inbred,M,3.734,5.085,3.061,11.88,58.12040079,48
3,G1,Inbred,F,3.696,4.933,2.884,11.513,52.58214931,49
4,G1,Inbred,M,3.811,5.386,3.315,12.512,68.04384249,51
5,G1,Inbred,F,4.032,5.319,3.112,12.463,66.7405993,51
6,G1,Inbred,F,3.647,4.272,3.009,10.928,46.88017186,52
7,G1,Inbred,M,3.407,4.648,2.889,10.944,45.7494413,53
8,G1,Inbred,F,3.867,4.853,2.886,11.606,54.16026619,54
9,G1,Inbred,M,3.494,4.642,2.79,10.926,45.25142292,55
10,G1,Inbred,F,3.907,4.736,3.02,11.663,55.88072704,56
11,G1,Inbred,M,3.743,5.093,3.149,11.985,60.02969875,57
12,G1,Inbred,M,3.349,4.475,2.764,10.588,41.4234461,59
13,G1,Inbred,F,3.542,4.393,2.848,10.783,44.31489709,59
14,G1,Inbred,F,4.079,5.135,3.327,12.541,69.68622746,62
15,G1,Inbred,F,4.098,5.359,3.19,12.647,70.05617058,64
16,G1,Inbred,M,3.623,5.09,2.975,11.688,54.86218325,65
17,G1,Inbred,F,3.943,4.997,3.091,12.031,60.90250156,65
18,G1,Inbred,F,3.58,4.62,2.733,10.933,45.2027268,69
19,G1,Inbred,M,3.848,5.137,3.197,12.182,63.19566167,71
20,G1,Inbred,F,3.832,4.693,3.02,11.545,54.31039952,72
21,G1,Inbred,M,3.436,4.792,2.868,11.096,47.22251482,72
22,G1,Inbred,F,3.986,4.947,3.152,12.085,62.15347478,73
23,G1,Inbred,F,3.954,5.12,3.086,12.16,62.47446528,74
24,G1,Inbred,F,3.929,5.054,3.036,12.019,60.28635598,76
25,G1,Inbred,M,3.5,4.562,2.945,11.007,47.022815,77
26,G1,Inbred,M,3.734,5.157,3.263,12.154,62.83310459,78
27,G1,Inbred,F,3.945,4.983,2.925,11.853,57.49945988,79
28,G1,Inbred,M,3.847,5.384,3.272,12.503,67.77047546,79
29,G1,Inbred,M,3.179,4.428,2.661,10.268,37.45786453,82
30,G1,Inbred,M,3.296,4.371,2.683,10.35,38.65348733,87
31,G3,Inbred,F,3.466,4.514,2.502,10.482,39.14510105,38
